,number,Y,WbY,ln(gdppercappp),shurban,density,numchange,inv/gdp,raw,manufact,govern,nogovern,sharetransf,sharehigheduc,patents,openexp,openimp
Perm territory,47,0.05273045,0.043428995,3.231630869,74.9,17.07365793,-1.159975427,0.173550404,15.7,29.4,8.5,21.7,6.545418165,18.2,2.204591986,0.293055,0.034074
Kirov region,48,0.034395854,0.041815157,2.554797675,71.6,11.89368771,-1.843854959,0.214134722,0.2,21.1,15.9,24.1,30.70419762,17.5,1.012569832,0.141503,0.026924
Nizhny Novgorod region,49,0.039594752,0.043725717,2.965455099,78.4,44.7924282,-0.964064079,0.215466369,0,30.6,9.4,24.9,13.10147795,23.2,1.973128151,0.169483,0.090186
Orenburg region,50,0.047201317,0.041454432,3.255722745,57.4,17.04122878,-1.320101114,0.18763667,37,16,9.6,12.9,12.40835933,16.5,0.759013283,0.285734,0.094058
Penza region,51,0.063206515,0.053666885,2.554610721,65.8,32.84562212,-0.696621386,0.21098923,0.8,18.9,13.8,26.8,42.59971269,20.3,1.1574886,0.057974,0.03873
Samara region,52,0.016881615,0.05064201,3.19837856,80.3,60.17537313,-0.055775905,0.167256404,10.8,29.9,7.2,24.1,3.864626543,25.3,2.471011347,0.51138,0.086246
Saratov region,53,0.054066402,0.044280681,2.784092944,73.7,25.72529644,-0.920992541,0.236564184,4,16.8,11.6,21.9,26.70269179,26,1.39048936,0.265138,0.056238
Ulyanovsk region,54,0.049247769,0.046539853,2.678709673,72.9,36.22311828,-0.970088925,0.182543876,3.3,19.8,12.5,23.5,29.20878603,23.2,2.560296846,0.074239,0.033237
Kurgan region,55,0.047320018,0.035457321,2.523753757,56.6,13.58601399,-1.908512572,0.171719125,0.5,18.4,17.1,25.1,48.63429439,14.5,0.72060943,0.130877,0.125045
Sverdlovsk region,56,0.051684762,0.043242636,3.189054602,83.1,22.51827072,-0.879001382,0.191384875,4.4,31.5,9.3,20.6,6.134645262,18.2,1.611318081,0.388666,0.105512
Tumen region,57,0.019027524,0.04022357,4.751665597,78.9,2.247712061,0.185692542,0.189960522,59.9,1.7,3.6,13.2,0.92425955,21.1,0.841663881,0.429348,0.012259
Chelyabinsk region,58,0.035659676,0.051857495,3.160696237,81.4,39.8779661,-0.739699058,0.208158952,0.9,41.4,9.2,19.5,9.47300824,21.4,1.875779213,0.422931,0.16117
Republic of Altay,59,0.024700942,0.030294225,2.25276677,26,2.174381055,-0.24691358,0.330952944,0.9,5.5,32.5,18.8,72.06980394,19.7,0.148514851,0.171785,0.388545
